SubjectId;Female_nCorrectAnswers;Male_nCorrectAnswers;Description
1;59;40;"Maths(3) - Advanced Pure(119) - Functions(146) - Composite Functions(437)"
2;100;106;"Maths(3) - Advanced Pure(119) - Functions(146) - Function Notation(434)"
3;56;41;"Maths(3) - Advanced Pure(119) - Functions(146) - Inverse Functions(436)"
4;162;173;"Maths(3) - Algebra(49) - Algebraic Fractions(255) - Adding and Subtracting Algebraic Fractions(1078)"
5;37;41;"Maths(3) - Algebra(49) - Algebraic Fractions(255) - Multiplying and Dividing Algebraic Fractions(1079)"
6;257;249;"Maths(3) - Algebra(49) - Algebraic Fractions(255) - Simplifying Algebraic Fractions(1077)"
7;56;67;"Maths(3) - Algebra(49) - Algebraic Fractions(255) - Solving Equations with Algebraic Fractions(1080)"
8;22;15;"Maths(3) - Algebra(49) - Co-ordinates(81) - Co-ordinates-Others(1180)"
9;25;17;"Maths(3) - Algebra(49) - Co-ordinates(81) - Distance Between Two Co-ordinates(410)"
10;97;89;"Maths(3) - Algebra(49) - Co-ordinates(81) - Gradient Between Two Co-ordinates(409)"
11;238;217;"Maths(3) - Algebra(49) - Co-ordinates(81) - Midpoint Between Two Co-ordinates(408)"
12;1386;1294;"Maths(3) - Algebra(49) - Co-ordinates(81) - Naming Co-ordinates in 2D(406)"
13;625;535;"Maths(3) - Algebra(49) - Expanding Brackets(152) - Expanding Double Brackets(51)"
14;1216;908;"Maths(3) - Algebra(49) - Expanding Brackets(152) - Expanding Single Brackets(50)"
15;106;59;"Maths(3) - Algebra(49) - Expanding Brackets(152) - Expanding Triple Brackets and more(335)"
16;14;16;"Maths(3) - Algebra(49) - Expanding Brackets(152) - Formula(156) - Expanding Single Brackets(50) - Substitution into Formula(67)"
18;21;22;"Maths(3) - Algebra(49) - Factorising(153) - Algebraic Fractions(255) - Factorising into a Double Bracket(53) - Simplifying Algebraic Fractions(1077)"
19;203;173;"Maths(3) - Algebra(49) - Factorising(153) - Completing the Square(256)"
20;224;242;"Maths(3) - Algebra(49) - Factorising(153) - Difference of Two Squares(254)"
21;688;748;"Maths(3) - Algebra(49) - Factorising(153) - Factorising into a Double Bracket(53)"
22;407;436;"Maths(3) - Algebra(49) - Factorising(153) - Factorising into a Single Bracket(52)"
23;6;8;"Maths(3) - Algebra(49) - Formula(156) - Rearranging Formula and Equations(60) - Substitution into Formula(67)"
24;893;867;"Maths(3) - Algebra(49) - Formula(156) - Rearranging Formula and Equations(60)"
25;2709;2417;"Maths(3) - Algebra(49) - Formula(156) - Substitution into Formula(67)"
26;323;307;"Maths(3) - Algebra(49) - Formula(156) - Writing Formula(157)"
27;3;3;"Maths(3) - Algebra(49) - Geometry and Measure(71) - Angles(74) - Solving Equations(154) - Linear Equations(64) - Angle Facts with Parallel Lines(182)"
28;33;14;"Maths(3) - Algebra(49) - Geometry and Measure(71) - Co-ordinates(81) - 2D Names and Properties of Shapes(174) - Properties of Quadrilaterals(88) - Naming Co-ordinates in 2D(406)"
29;51;37;"Maths(3) - Algebra(49) - Geometry and Measure(71) - Co-ordinates(81) - Pythagoras(271) - 2D Pythagoras(89) - Distance Between Two Co-ordinates(410)"
30;108;124;"Maths(3) - Algebra(49) - Geometry and Measure(71) - Compound Measures(79) - Other Graphs(158) - Real Life Graphs(58) - Speed, Distance, Time(269)"
31;72;44;"Maths(3) - Algebra(49) - Geometry and Measure(71) - Formula(156) - Perimeter and Area(178) - Substitution into Formula(67) - Area of Simple Shapes(75)"
